Order ID,Order Date,State,City,Amount,Profit,Quantity,Category,Sub-Category,PaymentMode
B-25757,21-08-2023,Madhya Pradesh,Indore,46,14,5,Clothing,Skirt,Debit Card
B-25757,21-08-2023,Madhya Pradesh,Indore,211,19,8,Clothing,Stole,COD
B-25757,21-08-2024,Madhya Pradesh,Indore,165,30,3,Clothing,Stole,COD
B-25757,21-08-2024,Madhya Pradesh,Indore,34,-11,5,Clothing,T-shirt,COD
B-25757,21-08-2024,Madhya Pradesh,Indore,98,9,2,Furniture,Furnishings,COD
B-25757,21-08-2024,Madhya Pradesh,Indore,106,15,7,Clothing,Hankerchief,Credit Card
B-25757,21-08-2023,Madhya Pradesh,Indore,53,15,2,Clothing,Stole,COD
B-25757,21-08-2023,Madhya Pradesh,Indore,14,5,1,Clothing,Hankerchief,COD
B-25757,21-08-2023,Madhya Pradesh,Indore,17,7,3,Clothing,Hankerchief,UPI
B-25757,21-08-2024,Madhya Pradesh,Indore,3151,-35,7,Clothing,Trousers,EMI
B-25967,21-01-2023,Uttar Pradesh,Prayagraj,17,2,2,Clothing,Skirt,Debit Card
B-25967,21-01-2024,Uttar Pradesh,Prayagraj,119,-24,4,Furniture,Furnishings,COD
B-25967,21-01-2024,Uttar Pradesh,Prayagraj,229,59,9,Clothing,Saree,Debit Card
B-25955,16-01-2023,Maharashtra,Pune,2927,146,8,Furniture,Bookcases,EMI
B-25955,16-01-2024,Maharashtra,Pune,39,2,2,Clothing,Saree,Debit Card
B-25955,16-01-2023,Maharashtra,Pune,54,14,3,Clothing,T-shirt,UPI
B-25955,16-01-2023,Maharashtra,Pune,294,62,9,Clothing,T-shirt,EMI
B-25955,16-01-2023,Maharashtra,Pune,110,20,5,Clothing,Stole,Debit Card
B-25955,16-01-2024,Maharashtra,Pune,200,13,5,Electronics,Phones,COD
B-25955,16-01-2023,Maharashtra,Pune,45,8,4,Clothing,Skirt,EMI
B-25955,16-01-2024,Maharashtra,Pune,954,95,3,Electronics,Printers,UPI
B-25955,16-01-2023,Maharashtra,Pune,1716,309,7,Electronics,Accessories,COD
B-26093,27-03-2024,Maharashtra,Pune,2847,712,8,Electronics,Printers,Credit Card
B-26093,27-03-2023,Maharashtra,Pune,852,51,5,Furniture,Bookcases,Credit Card
B-26093,27-03-2024,Maharashtra,Pune,148,25,3,Clothing,Saree,Debit Card
B-26093,27-03-2024,Maharashtra,Pune,81,-41,5,Clothing,Leggings,EMI
B-26093,27-03-2024,Maharashtra,Pune,49,5,4,Clothing,Hankerchief,COD
B-26093,27-03-2024,Maharashtra,Pune,33,-1,1,Clothing,Saree,Credit Card
B-26093,27-03-2023,Maharashtra,Pune,492,187,2,Electronics,Accessories,UPI
B-25798,01-10-2024,Andhra Pradesh,Hyderabad,448,148,2,Electronics,Printers,COD
B-25798,01-10-2023,Andhra Pradesh,Hyderabad,61,-50,4,Clothing,Hankerchief,COD
B-25798,01-10-2023,Andhra Pradesh,Hyderabad,47,-3,2,Clothing,Stole,COD
B-25798,01-10-2023,Andhra Pradesh,Hyderabad,379,63,2,Clothing,Saree,COD
B-25798,01-10-2024,Andhra Pradesh,Hyderabad,38,-13,3,Clothing,Stole,Credit Card
B-25798,01-10-2023,Andhra Pradesh,Hyderabad,2830,-1981,13,Furniture,Bookcases,EMI
B-25602,01-04-2023,Maharashtra,Pune,2617,1151,4,Electronics,Phones,Credit Card
B-25602,01-04-2023,Maharashtra,Pune,561,212,3,Clothing,Saree,COD
B-25602,01-04-2023,Maharashtra,Pune,424,-272,5,Electronics,Phones,COD
B-25602,01-04-2024,Maharashtra,Pune,168,-111,2,Electronics,Phones,EMI
B-25602,01-04-2024,Maharashtra,Pune,119,-5,8,Clothing,Saree,Credit Card
B-25858,13-11-2024,Maharashtra,Mumbai,29,11,4,Clothing,Skirt,COD
B-25858,13-11-2023,Maharashtra,Mumbai,245,30,2,Clothing,Saree,COD
B-25858,13-11-2023,Maharashtra,Mumbai,223,27,2,Furniture,Bookcases,COD
B-25858,13-11-2023,Maharashtra,Mumbai,219,0,1,Clothing,Saree,COD
B-25858,13-11-2024,Maharashtra,Mumbai,294,109,7,Electronics,Accessories,EMI
B-25858,13-11-2023,Maharashtra,Mumbai,82,13,2,Clothing,Shirt,COD
B-25858,13-11-2023,Maharashtra,Mumbai,27,5,2,Clothing,Skirt,COD
B-25858,13-11-2024,Maharashtra,Mumbai,22,8,3,Clothing,Hankerchief,COD
B-25858,13-11-2023,Maharashtra,Mumbai,2457,665,11,Electronics,Electronic Games,EMI
B-25969,21-01-2023,Gujarat,Surat,171,17,6,Clothing,T-shirt,UPI
B-25969,21-01-2023,Gujarat,Surat,720,43,2,Electronics,Printers,UPI
B-25969,21-01-2023,Gujarat,Surat,2452,191,7,Furniture,Bookcases,UPI
B-26099,30-03-2024,Maharashtra,Mumbai,207,37,4,Clothing,Hankerchief,COD
B-26099,30-03-2023,Maharashtra,Mumbai,835,267,5,Electronics,Phones,Debit Card
B-26099,30-03-2023,Maharashtra,Mumbai,2366,552,5,Clothing,Trousers,UPI
B-26099,30-03-2023,Maharashtra,Mumbai,9,3,1,Clothing,Skirt,COD
B-25997,04-02-2024,Maharashtra,Pune,231,99,2,Electronics,Electronic Games,Credit Card
B-25997,04-02-2024,Maharashtra,Pune,48,15,1,Clothing,Hankerchief,COD
B-25997,04-02-2024,Maharashtra,Pune,16,6,3,Clothing,Hankerchief,COD
B-25997,04-02-2024,Maharashtra,Pune,2292,127,7,Furniture,Bookcases,COD
B-25881,25-11-2023,Uttar Pradesh,Mathura,2244,247,4,Clothing,Trousers,Credit Card
B-25881,25-11-2024,Uttar Pradesh,Mathura,37,3,3,Clothing,Hankerchief,COD
B-25881,25-11-2023,Uttar Pradesh,Mathura,36,7,3,Clothing,Leggings,Debit Card
B-25881,25-11-2023,Uttar Pradesh,Mathura,26,9,2,Clothing,Leggings,COD
B-25881,25-11-2023,Uttar Pradesh,Mathura,1351,111,6,Electronics,Electronic Games,COD
B-25881,25-11-2023,Uttar Pradesh,Mathura,2115,23,5,Furniture,Chairs,COD
B-25761,25-08-2024,Uttar Pradesh,Mathura,2188,1050,5,Furniture,Bookcases,Credit Card
B-25761,25-08-2023,Uttar Pradesh,Mathura,418,70,7,Electronics,Phones,COD
B-25761,25-08-2024,Uttar Pradesh,Mathura,102,-90,1,Clothing,Saree,COD
B-25761,25-08-2023,Uttar Pradesh,Mathura,263,-31,9,Electronics,Electronic Games,Debit Card
B-25761,25-08-2023,Uttar Pradesh,Mathura,328,-15,3,Electronics,Electronic Games,Debit Card
B-25761,25-08-2024,Uttar Pradesh,Mathura,40,0,3,Clothing,Saree,Credit Card
B-25887,01-12-2024,Uttar Pradesh,Prayagraj,2125,-234,6,Electronics,Printers,EMI
B-25887,01-12-2023,Uttar Pradesh,Prayagraj,83,6,6,Clothing,Shirt,EMI
B-25823,18-10-2023,Maharashtra,Mumbai,59,6,1,Electronics,Accessories,UPI
B-25823,18-10-2024,Maharashtra,Mumbai,103,50,2,Furniture,Furnishings,UPI
B-25823,18-10-2024,Maharashtra,Mumbai,104,2,2,Furniture,Furnishings,COD
B-25823,18-10-2024,Maharashtra,Mumbai,2103,322,8,Electronics,Electronic Games,UPI
B-25853,08-11-2023,Gujarat,Ahmedabad,2093,721,5,Furniture,Chairs,Credit Card
B-25853,08-11-2024,Gujarat,Ahmedabad,39,16,6,Clothing,Skirt,UPI
B-25853,08-11-2024,Gujarat,Ahmedabad,199,48,4,Clothing,Stole,UPI
B-25853,08-11-2024,Gujarat,Ahmedabad,26,11,2,Clothing,Hankerchief,UPI
B-25853,08-11-2024,Gujarat,Ahmedabad,30,14,3,Clothing,Hankerchief,UPI
B-25853,08-11-2024,Gujarat,Ahmedabad,128,4,3,Clothing,Saree,COD
B-25853,08-11-2024,Gujarat,Ahmedabad,95,11,4,Furniture,Furnishings,COD
B-25853,08-11-2024,Gujarat,Ahmedabad,199,6,2,Clothing,Saree,UPI
B-25853,08-11-2023,Gujarat,Ahmedabad,579,139,3,Electronics,Printers,Debit Card
B-25862,15-11-2024,Bihar,Patna,121,41,4,Clothing,Stole,EMI
B-25862,15-11-2023,Bihar,Patna,80,3,3,Clothing,Stole,EMI
B-25862,15-11-2024,Bihar,Patna,2061,701,5,Furniture,Bookcases,UPI
B-25830,26-10-2024,Himachal Pradesh,Simla,1954,782,3,Electronics,Phones,Credit Card
B-25830,26-10-2023,Himachal Pradesh,Simla,93,15,2,Electronics,Accessories,COD
B-25830,26-10-2024,Himachal Pradesh,Simla,71,0,8,Clothing,Skirt,COD
B-25830,26-10-2024,Himachal Pradesh,Simla,54,1,2,Clothing,Saree,UPI
B-25830,26-10-2023,Himachal Pradesh,Simla,41,11,6,Clothing,Hankerchief,COD
B-25830,26-10-2023,Himachal Pradesh,Simla,1063,64,7,Electronics,Phones,EMI
B-25786,19-09-2023,Uttar Pradesh,Mathura,1854,433,5,Furniture,Bookcases,Credit Card
B-25786,19-09-2024,Uttar Pradesh,Mathura,623,-192,3,Furniture,Tables,UPI
B-25786,19-09-2023,Uttar Pradesh,Mathura,44,-34,3,Clothing,Stole,Credit Card
B-25786,19-09-2023,Uttar Pradesh,Mathura,17,-11,3,Clothing,Skirt,UPI
B-25686,11-06-2023,Himachal Pradesh,Simla,1829,-56,6,Furniture,Tables,Credit Card
B-25686,11-06-2023,Himachal Pradesh,Simla,381,-13,2,Clothing,Saree,COD
B-25686,11-06-2023,Himachal Pradesh,Simla,332,503,3,Electronics,Printers,COD
B-26022,18-02-2024,Punjab,Chandigarh,1824,1303,8,Electronics,Phones,Credit Card
B-26003,08-02-2024,Madhya Pradesh,Bhopal,1745,122,2,Furniture,Tables,Credit Card
B-26003,08-02-2023,Madhya Pradesh,Bhopal,498,-116,4,Clothing,Saree,UPI
B-26003,08-02-2023,Madhya Pradesh,Bhopal,315,-8,3,Furniture,Chairs,Credit Card
B-26003,08-02-2024,Madhya Pradesh,Bhopal,79,16,3,Clothing,T-shirt,COD
B-26003,08-02-2024,Madhya Pradesh,Bhopal,128,47,4,Clothing,Hankerchief,COD
B-26003,08-02-2023,Madhya Pradesh,Bhopal,114,41,6,Furniture,Furnishings,COD
B-26003,08-02-2024,Madhya Pradesh,Bhopal,652,13,6,Furniture,Furnishings,Debit Card
B-26003,08-02-2023,Madhya Pradesh,Bhopal,17,2,2,Clothing,Skirt,UPI
B-25755,19-08-2023,Kerala ,Thiruvananthapuram,1709,564,3,Clothing,Trousers,Credit Card
B-25755,19-08-2024,Kerala ,Thiruvananthapuram,134,-34,2,Furniture,Chairs,COD
B-25755,19-08-2023,Kerala ,Thiruvananthapuram,47,-3,2,Clothing,Stole,UPI
B-25755,19-08-2024,Kerala ,Thiruvananthapuram,257,-3,2,Furniture,Bookcases,UPI
B-25755,19-08-2024,Kerala ,Thiruvananthapuram,80,-19,5,Clothing,Stole,UPI
B-25755,19-08-2024,Kerala ,Thiruvananthapuram,26,4,2,Clothing,Saree,UPI
B-25755,19-08-2024,Kerala ,Thiruvananthapuram,37,-53,3,Clothing,Saree,Credit Card
B-25755,19-08-2023,Kerala ,Thiruvananthapuram,593,213,4,Furniture,Bookcases,Debit Card
B-25755,19-08-2024,Kerala ,Thiruvananthapuram,321,315,5,Clothing,Saree,UPI
B-25902,10-12-2024,Maharashtra,Mumbai,268,6,2,Furniture,Bookcases,UPI
B-25902,10-12-2023,Maharashtra,Mumbai,79,6,7,Clothing,Saree,COD
B-25902,10-12-2024,Maharashtra,Mumbai,154,26,4,Electronics,Accessories,COD
B-25902,10-12-2023,Maharashtra,Mumbai,1700,85,3,Clothing,Trousers,COD
B-25902,10-12-2023,Maharashtra,Mumbai,802,120,7,Electronics,Accessories,COD
B-25935,04-01-2024,Nagaland,Kohima,1657,460,4,Furniture,Chairs,Credit Card
B-25935,04-01-2024,Nagaland,Kohima,162,20,3,Furniture,Chairs,EMI
B-25935,04-01-2023,Nagaland,Kohima,150,32,3,Clothing,Hankerchief,COD
B-25797,30-09-2023,Madhya Pradesh,Indore,1630,802,5,Furniture,Tables,EMI
B-25797,30-09-2023,Madhya Pradesh,Indore,413,-314,9,Furniture,Chairs,COD
B-25797,30-09-2024,Madhya Pradesh,Indore,31,1,2,Clothing,Hankerchief,UPI
B-25797,30-09-2024,Madhya Pradesh,Indore,148,-101,2,Furniture,Bookcases,UPI
B-25797,30-09-2023,Madhya Pradesh,Indore,89,-4,5,Clothing,Saree,Credit Card
B-25797,30-09-2023,Madhya Pradesh,Indore,976,293,4,Electronics,Accessories,COD
B-25639,27-04-2024,Madhya Pradesh,Bhopal,1629,-153,3,Electronics,Phones,COD
B-25681,04-06-2023,Madhya Pradesh,Indore,1096,658,7,Electronics,Electronic Games,COD
B-25681,04-06-2023,Madhya Pradesh,Indore,1625,-77,3,Electronics,Phones,EMI
B-25681,04-06-2023,Madhya Pradesh,Indore,523,204,7,Clothing,Trousers,COD
B-25681,04-06-2024,Madhya Pradesh,Indore,44,-3,1,Clothing,Saree,Debit Card
B-25681,04-06-2024,Madhya Pradesh,Indore,243,-14,2,Furniture,Chairs,COD
B-25681,04-06-2024,Madhya Pradesh,Indore,68,-27,3,Electronics,Accessories,UPI
B-25909,13-12-2024,Maharashtra,Pune,1622,-448,3,Electronics,Phones,EMI
B-25909,13-12-2023,Maharashtra,Pune,108,22,3,Electronics,Accessories,COD
B-25909,13-12-2024,Maharashtra,Pune,323,122,5,Electronics,Phones,UPI
B-25909,13-12-2024,Maharashtra,Pune,168,56,3,Clothing,Saree,COD
B-25909,13-12-2024,Maharashtra,Pune,12,2,2,Clothing,Skirt,Credit Card
B-25910,14-12-2024,Delhi,Delhi,1622,-624,5,Furniture,Tables,Credit Card
B-25910,14-12-2023,Delhi,Delhi,259,47,5,Clothing,Hankerchief,Credit Card
B-25910,14-12-2024,Delhi,Delhi,685,7,7,Clothing,Trousers,UPI
B-25910,14-12-2023,Delhi,Delhi,125,15,5,Clothing,Shirt,EMI
B-25910,14-12-2024,Delhi,Delhi,33,1,2,Clothing,Shirt,COD
B-25910,14-12-2023,Delhi,Delhi,850,-289,5,Electronics,Electronic Games,COD
B-25950,13-01-2024,Madhya Pradesh,Indore,1622,95,5,Electronics,Printers,Credit Card
B-25950,13-01-2024,Madhya Pradesh,Indore,644,167,2,Electronics,Printers,COD
B-25950,13-01-2024,Madhya Pradesh,Indore,136,-33,5,Clothing,Saree,COD
B-25950,13-01-2023,Madhya Pradesh,Indore,261,13,6,Clothing,Shirt,Credit Card
B-25950,13-01-2023,Madhya Pradesh,Indore,190,19,9,Furniture,Furnishings,Credit Card
B-25950,13-01-2023,Madhya Pradesh,Indore,133,5,5,Clothing,Stole,UPI
B-25950,13-01-2023,Madhya Pradesh,Indore,158,-29,10,Clothing,Hankerchief,EMI
B-25950,13-01-2024,Madhya Pradesh,Indore,54,27,2,Clothing,Stole,COD
B-25950,13-01-2024,Madhya Pradesh,Indore,13,4,1,Clothing,Leggings,UPI
B-25613,12-04-2024,Haryana,Chandigarh,1603,0,9,Clothing,Saree,Credit Card
B-25919,23-12-2024,Rajasthan,Udaipur,110,12,7,Clothing,Stole,Debit Card
B-25919,23-12-2023,Rajasthan,Udaipur,1599,37,6,Electronics,Electronic Games,UPI
B-25919,23-12-2024,Rajasthan,Udaipur,28,4,1,Clothing,T-shirt,COD
B-25919,23-12-2024,Rajasthan,Udaipur,636,-204,2,Electronics,Printers,Debit Card
B-25919,23-12-2024,Rajasthan,Udaipur,977,-244,7,Electronics,Phones,COD
B-25768,01-09-2023,Karnataka,Bangalore,1582,-443,6,Clothing,Trousers,EMI
B-25629,24-04-2024,Kerala ,Thiruvananthapuram,1560,421,3,Clothing,Trousers,COD
B-25729,22-07-2023,Madhya Pradesh,Bhopal,1549,-439,4,Electronics,Phones,Credit Card
B-25943,09-01-2024,Gujarat,Ahmedabad,1547,340,6,Electronics,Accessories,EMI
B-25943,09-01-2023,Gujarat,Ahmedabad,48,20,4,Clothing,Stole,UPI
B-25943,09-01-2024,Gujarat,Ahmedabad,137,38,5,Clothing,Hankerchief,Debit Card
B-25943,09-01-2024,Gujarat,Ahmedabad,149,15,3,Clothing,Saree,Debit Card
B-25943,09-01-2024,Gujarat,Ahmedabad,26,7,4,Clothing,Hankerchief,COD
B-25842,02-11-2024,Maharashtra,Pune,1543,370,8,Electronics,Printers,Credit Card
B-26073,21-03-2024,Madhya Pradesh,Indore,37,17,3,Clothing,Hankerchief,Debit Card
B-26073,21-03-2024,Madhya Pradesh,Indore,122,11,4,Clothing,Hankerchief,COD
B-26073,21-03-2024,Madhya Pradesh,Indore,290,110,9,Clothing,Stole,UPI
B-26073,21-03-2024,Madhya Pradesh,Indore,29,9,3,Clothing,Saree,UPI
B-26073,21-03-2024,Madhya Pradesh,Indore,1514,742,4,Electronics,Printers,EMI
B-25778,11-09-2024,Maharashtra,Mumbai,1506,-266,6,Electronics,Printers,Credit Card
B-25778,11-09-2024,Maharashtra,Mumbai,933,166,5,Clothing,Saree,Credit Card
B-25778,11-09-2023,Maharashtra,Mumbai,109,-6,6,Clothing,Saree,COD
B-25778,11-09-2023,Maharashtra,Mumbai,724,-447,4,Electronics,Electronic Games,UPI
B-25717,12-07-2024,Uttar Pradesh,Lucknow,561,212,3,Clothing,Saree,Credit Card
B-25717,12-07-2023,Uttar Pradesh,Lucknow,138,-3,5,Clothing,Saree,COD
B-25717,12-07-2023,Uttar Pradesh,Lucknow,90,17,3,Clothing,Shirt,COD
B-25717,12-07-2023,Uttar Pradesh,Lucknow,55,-33,2,Furniture,Chairs,COD
B-26085,26-03-2024,Punjab,Chandigarh,1487,624,3,Clothing,Trousers,Credit Card
B-26085,26-03-2023,Punjab,Chandigarh,132,-10,3,Clothing,Saree,COD
B-26085,26-03-2023,Punjab,Chandigarh,86,22,2,Clothing,Saree,COD
B-26085,26-03-2024,Punjab,Chandigarh,40,17,2,Clothing,Stole,COD
B-26048,04-03-2023,Maharashtra,Pune,1461,202,5,Furniture,Tables,EMI
B-26048,04-03-2023,Maharashtra,Pune,401,13,6,Furniture,Chairs,Credit Card
B-26048,04-03-2023,Maharashtra,Pune,163,81,2,Electronics,Accessories,COD
B-26048,04-03-2024,Maharashtra,Pune,1104,209,4,Clothing,Trousers,UPI
B-25793,24-09-2023,Madhya Pradesh,Indore,60,-12,4,Clothing,Hankerchief,Debit Card
B-25793,24-09-2024,Madhya Pradesh,Indore,257,-252,4,Clothing,Saree,Debit Card
B-25793,24-09-2023,Madhya Pradesh,Indore,63,-24,6,Clothing,Kurti,COD
B-25793,24-09-2023,Madhya Pradesh,Indore,40,-33,5,Clothing,Hankerchief,Credit Card
B-25793,24-09-2023,Madhya Pradesh,Indore,24,-1,4,Clothing,Skirt,Credit Card
B-25793,24-09-2023,Madhya Pradesh,Indore,18,1,3,Clothing,Hankerchief,COD
B-25793,24-09-2023,Madhya Pradesh,Indore,1402,109,11,Clothing,Saree,EMI
B-25656,11-05-2024,Maharashtra,Pune,24,-1,2,Clothing,Hankerchief,COD
B-25656,11-05-2023,Maharashtra,Pune,6,3,1,Clothing,Hankerchief,COD
B-25656,11-05-2024,Maharashtra,Pune,30,-5,5,Clothing,Stole,UPI
B-25656,11-05-2023,Maharashtra,Pune,406,126,2,Clothing,Saree,COD
B-25656,11-05-2023,Maharashtra,Pune,56,18,2,Clothing,Hankerchief,Debit Card
B-25656,11-05-2023,Maharashtra,Pune,101,18,9,Clothing,Skirt,COD
B-25656,11-05-2024,Maharashtra,Pune,61,-23,2,Clothing,Saree,COD
B-25656,11-05-2024,Maharashtra,Pune,534,0,3,Clothing,Saree,Debit Card
B-25656,11-05-2024,Maharashtra,Pune,624,37,2,Electronics,Electronic Games,Debit Card
B-25656,11-05-2023,Maharashtra,Pune,651,169,5,Electronics,Printers,COD
B-25656,11-05-2024,Maharashtra,Pune,13,-1,3,Clothing,Hankerchief,COD
B-25656,11-05-2023,Maharashtra,Pune,1389,680,7,Clothing,Saree,COD
B-25608,08-04-2023,Tamil Nadu,Chennai,1364,1864,5,Furniture,Tables,Credit Card
B-25608,08-04-2024,Tamil Nadu,Chennai,476,0,3,Furniture,Chairs,COD
B-25608,08-04-2024,Tamil Nadu,Chennai,257,23,5,Clothing,Hankerchief,COD
B-25608,08-04-2024,Tamil Nadu,Chennai,856,385,6,Electronics,Printers,COD
B-25752,14-08-2023,Madhya Pradesh,Indore,761,266,9,Electronics,Electronic Games,COD
B-25752,14-08-2024,Madhya Pradesh,Indore,735,-235,6,Electronics,Printers,COD
B-25752,14-08-2023,Madhya Pradesh,Indore,76,27,5,Clothing,Stole,COD
B-25752,14-08-2023,Madhya Pradesh,Indore,91,15,6,Clothing,T-shirt,UPI
B-25752,14-08-2023,Madhya Pradesh,Indore,33,-27,1,Furniture,Chairs,Credit Card
B-25752,14-08-2024,Madhya Pradesh,Indore,1361,197,9,Furniture,Bookcases,COD
B-25752,14-08-2024,Madhya Pradesh,Indore,8,-2,2,Clothing,Hankerchief,COD
B-25779,12-09-2023,Maharashtra,Pune,1361,980,3,Furniture,Tables,COD
B-25603,03-04-2023,Madhya Pradesh,Bhopal,12,1,2,Clothing,Hankerchief,COD
B-25603,03-04-2024,Madhya Pradesh,Bhopal,107,36,6,Clothing,Stole,COD
B-25603,03-04-2024,Madhya Pradesh,Bhopal,116,16,4,Clothing,Stole,COD
B-25603,03-04-2023,Madhya Pradesh,Bhopal,180,5,3,Clothing,Trousers,Debit Card
B-25603,03-04-2024,Madhya Pradesh,Bhopal,193,-166,3,Clothing,Saree,EMI
B-25603,03-04-2024,Madhya Pradesh,Bhopal,38,18,1,Clothing,Kurti,COD
B-25603,03-04-2023,Madhya Pradesh,Bhopal,24,-30,1,Furniture,Chairs,COD
B-25603,03-04-2023,Madhya Pradesh,Bhopal,1355,-60,5,Clothing,Trousers,COD
B-26051,07-03-2023,West Bengal,Kolkata,1337,147,7,Electronics,Printers,Credit Card
B-26051,07-03-2024,West Bengal,Kolkata,490,88,2,Electronics,Accessories,EMI
B-26051,07-03-2023,West Bengal,Kolkata,382,119,2,Clothing,Saree,Credit Card
B-26051,07-03-2023,West Bengal,Kolkata,216,50,4,Clothing,Stole,COD
B-26051,07-03-2024,West Bengal,Kolkata,85,24,10,Clothing,Hankerchief,Debit Card
B-26051,07-03-2023,West Bengal,Kolkata,80,22,3,Clothing,Stole,UPI
B-26051,07-03-2023,West Bengal,Kolkata,669,74,5,Furniture,Bookcases,COD
B-26051,07-03-2024,West Bengal,Kolkata,184,85,6,Clothing,T-shirt,UPI
B-26051,07-03-2024,West Bengal,Kolkata,600,-102,5,Electronics,Electronic Games,Debit Card
B-26051,07-03-2024,West Bengal,Kolkata,676,195,5,Furniture,Bookcases,Debit Card
B-25653,08-05-2024,Nagaland,Kohima,1279,-640,8,Electronics,Printers,EMI
B-25653,08-05-2023,Nagaland,Kohima,668,-31,3,Electronics,Printers,Credit Card
B-25653,08-05-2024,Nagaland,Kohima,427,-50,7,Electronics,Phones,COD
B-25653,08-05-2024,Nagaland,Kohima,195,-117,5,Electronics,Phones,COD
B-25653,08-05-2023,Nagaland,Kohima,115,25,1,Electronics,Accessories,COD
B-25653,08-05-2023,Nagaland,Kohima,168,-10,3,Electronics,Accessories,UPI
B-25653,08-05-2023,Nagaland,Kohima,227,102,8,Electronics,Accessories,Debit Card
B-25653,08-05-2024,Nagaland,Kohima,28,-3,2,Clothing,Saree,UPI
B-25653,08-05-2024,Nagaland,Kohima,1327,318,8,Furniture,Chairs,EMI
B-25855,08-11-2024,Madhya Pradesh,Bhopal,829,19,4,Electronics,Printers,Credit Card
B-25855,08-11-2023,Madhya Pradesh,Bhopal,90,17,3,Clothing,Hankerchief,COD
B-25855,08-11-2023,Madhya Pradesh,Bhopal,98,12,2,Clothing,Hankerchief,Credit Card
B-25855,08-11-2023,Madhya Pradesh,Bhopal,197,73,1,Furniture,Bookcases,COD
B-25855,08-11-2023,Madhya Pradesh,Bhopal,61,30,2,Clothing,Hankerchief,UPI
B-25855,08-11-2024,Madhya Pradesh,Bhopal,442,31,2,Electronics,Electronic Games,UPI
B-25855,08-11-2024,Madhya Pradesh,Bhopal,550,-242,5,Furniture,Furnishings,UPI
B-25855,08-11-2023,Madhya Pradesh,Bhopal,1319,567,5,Electronics,Printers,COD
B-25855,08-11-2023,Madhya Pradesh,Bhopal,1027,441,8,Clothing,Saree,COD
B-25762,26-08-2024,Madhya Pradesh,Indore,1316,527,7,Electronics,Electronic Games,Credit Card
B-25762,26-08-2024,Madhya Pradesh,Indore,98,-5,2,Clothing,Saree,UPI
B-25762,26-08-2024,Madhya Pradesh,Indore,27,4,3,Clothing,Skirt,COD
B-25995,04-02-2024,Delhi,Delhi,1314,342,3,Furniture,Bookcases,Credit Card
B-25929,02-01-2023,Kerala ,Thiruvananthapuram,1308,536,3,Furniture,Bookcases,Credit Card
B-25929,02-01-2024,Kerala ,Thiruvananthapuram,216,-135,3,Furniture,Chairs,Credit Card
B-25929,02-01-2024,Kerala ,Thiruvananthapuram,154,-85,3,Furniture,Chairs,EMI
B-26006,09-02-2024,Karnataka,Bangalore,1301,573,5,Electronics,Accessories,Credit Card
B-25697,22-06-2023,Jammu and Kashmir,Kashmir,1300,-16,8,Electronics,Printers,Credit Card
B-25697,22-06-2023,Jammu and Kashmir,Kashmir,115,-39,3,Clothing,Trousers,COD
